PropType,Taxkey,Address,CondoProject,District,Nbhd,Style,Extwall,Stories,Year_Built,Nr_of_rms,Fin_sqft,Units,Bdrms,Fbath,Hbath,Lotsize,Sale_date,Sale_price
Commercial,2070841000,5148 N TEUTONIA AV,,1,6232,"Store Bldg - Multi Story (Store & Apt, Store & O",,2,1949,0,7485,1,0,0,0,10759,2002-04,164700
Commercial,2740314000,3929 N HUMBOLDT BL,,6,6238,"Store Bldg - Multi Story (Store & Apt, Store & O",,2,1957,0,5382,1,0,0,0,4500,2002-04,80000
Commercial,5259925000,9225 W BELOIT RD,,11,6288,"Store Bldg - Multi Story (Store & Apt, Store & O",,2,1958,0,3598,1,0,0,0,9420,2002-04,230000
Commercial,4980106000,2316 S 6TH ST,,14,6281,"Store Bldg - Multi Story (Store & Apt, Store & O",,2,1912,0,2600,1,0,0,0,2000,2002-04,95000
Commercial,839997141,7911 N 60TH ST,,9,6208,Strip Shopping Center,,1,1972,0,5075,1,0,0,0,14472,2002-04,212000
Commercial,4970535000,2501 S 7TH ST,,14,6281,Tavern,,2,1895,0,5280,1,0,0,0,7200,2002-04,64000
Commercial,4680813000,1000 W LINCOLN AV,,12,6281,Tavern,,2,1890,0,2800,1,0,0,0,3080,2002-04,55000
Commercial,3211609000,2601 N HOLTON ST,,6,6260,Triplex,,2,1895,0,2300,1,0,0,0,6000,2002-04,55000
Residential,3190434000,1908 E WEBSTER PL,,3,3170,Rm or Rooming House,Frame,2,1897,0,1992,4,2,2,0,2880,2002-05,145000
Lg Apartment,1080393100,7225 N 86TH ST,32: 2-Br ,9,6970,Apartment: 32: 2-Br  Units,,2,1980,0,31424,1,0,0,0,0,2002-05,1500000
Commercial,2260398100,6046 W FOND DU LAC AV,,2,6230,Billboard,,0,0,0,0,1,0,0,0,20982,2002-05,190000
Commercial,4611499000,1623 S 6TH ST,,12,6278,Billboard,,0,0,0,0,1,0,0,0,4075,2002-05,115000
Commercial,5810245100,4170 S HOWELL AV,,13,6290,Billboard,,0,0,0,0,1,0,0,0,9136,2002-05,105000
Commercial,4949993100,3410 W FOREST HOME AV,,11,6283,Service Building,,1,1964,0,5318,1,0,0,0,13700,2002-05,130000
Commercial,2700308000,2319 W CAPITOL DR,,6,6240,"Store Bldg - Multi Story (Store & Apt, Store & O",,3,1928,0,20388,1,0,0,0,8526,2002-05,307000
Commercial,2871304000,3707 W FOND DU LAC AV,,7,6242,"Store Bldg - Multi Story (Store & Apt, Store & O",,2,1918,0,5812,1,0,0,0,4259,2002-05,115000
Commercial,2701743100,3879 N TEUTONIA AV,,6,6234,"Store Bldg - Multi Story (Store & Apt, Store & O",,2,1914,0,2978,1,0,0,0,5196,2002-05,20000
Commercial,3530215000,2213 N MARTIN L KING JR DR,,6,6266,"Store Building - Single tenant, 1 story",,1,1936,0,6000,1,0,0,0,3750,2002-05,160000
Commercial,2640013000,3952 N 76TH ST,,10,6226,"Store Building - Single tenant, 1 story",,1,1955,0,4500,1,0,0,0,9600,2002-05,131000
Commercial,5051148100,108 E DAKOTA ST,,14,6282,Strip Shopping Center,,1,1984,0,5298,1,0,0,0,18518,2002-05,485000
Commercial,2249999110,7607 W HAMPTON AV,,5,6226,Tavern,,1,1946,0,5666,1,0,0,0,14107,2002-05,252000
Commercial,2820378000,3278A N 2ND ST,,6,6240,Tavern,,2,1890,0,2635,1,0,0,0,7200,2002-05,25000
Commercial,1459992111,10136 W FOND DU LAC AV,,5,6212,Warehouse Building - 1 Story,,1,1965,0,42389,1,0,0,0,143310,2002-05,339477
Commercial,4280444000,643 S 2ND ST,,12,6275,Warehouse Building - 1 Story,,1,1907,0,5623,1,0,0,0,4550,2002-05,80000
Residential,3891722000,812 N 25TH ST,,4,3040,Rm or Rooming House,Frame,2,1907,0,2339,6,0,1,0,3185,2002-06,30000
Commercial,350051000,10501 W BROWN DEER RD,,9,6418,Billboard,,0,0,0,0,1,0,0,0,222592,2002-06,500000
Commercial,4590004000,1401 S 21ST ST,,8,6277,Billboard,,0,0,0,0,1,0,0,0,2961,2002-06,6000
Commercial,4692287000,1842 W FOREST HOME AV,,12,6278,Billboard,,0,0,0,0,1,0,0,0,4449,2002-06,48900
Commercial,3512690000,1844 W FOND DU LAC AV,,15,6256,Laundry Pick-up Station,,1,1911,0,4260,1,0,0,0,3600,2002-06,41400
Commercial,4340605000,2433 W NATIONAL AV,,8,6277,"Store Bldg - Multi Story (Store & Apt, Store & O",,2,1927,0,4158,1,0,0,0,3240,2002-06,67500
Commercial,3210715000,931 E CENTER ST,,3,6260,"Store Bldg - Multi Story (Store & Apt, Store & O",,2,1885,0,3068,1,0,0,0,3600,2002-06,97000
Commercial,5279994220,3149 S 76TH ST,,11,6288,"Store Building - Single tenant, 1 story",,1,1961,0,1944,1,0,0,0,2280,2002-06,137500
Commercial,4219942120,683 S HAWLEY RD,,10,6272,Strip Shopping Center,,1,1975,0,5000,1,0,0,0,16423,2002-06,308400
Commercial,2879998110,3381 N 35TH ST,,7,6418,Svs Station w Conv Store,,1,1967,0,1625,1,0,0,0,15902,2002-06,600000
Commercial,5151708110,6828 W OKLAHOMA AV,,11,6288,Tavern,,1,1961,0,5760,1,0,0,0,12668,2002-06,235000
Commercial,2080010000,5138 N 37TH ST,,1,6232,Tavern,,1,1950,0,1200,1,0,0,0,4615,2002-06,20000
Commercial,4701101000,2063 W FOREST HOME AV,,8,6278,Used Car Sale,,1,1950,0,13127,1,0,0,0,13127,2002-06,60000
Commercial,6260232000,4960 S 2ND ST,,13,6290,Warehouse Building - 1 Story,,1,1973,0,19287,1,0,0,0,40946,2002-06,695000
Commercial,1029972000,7450ADJ N TEUTONIA AV,,1,6216,Warehouse Building - 1 Story,,1,1955,0,6975,1,0,0,0,16001,2002-06,128000
Commercial,4340558000,2624 W GREENFIELD AV,,8,6277,Warehouse Building - 1 Story,,1,1920,0,6885,1,0,0,0,7416,2002-06,100000
Commercial,4270422200,904 W BRUCE ST,,12,6276,Warehouse Building - 1 Story,,1,1947,0,2388,1,0,0,0,6180,2002-06,45000
Vacant Land,2721710000,901 W ATKINSON AV,,6,6240,Commercial Land,,0,0,0,0,1,0,0,0,1172,2002-06,18000
Commercial,4600250100,2251 S 13TH ST,,12,6281,Auto & Auto Body Repair,,1,1948,0,2988,1,0,0,0,8820,2002-07,77000
