PropType,Taxkey,Address,CondoProject,District,Nbhd,Style,Extwall,Stories,Year_Built,Nr_of_rms,Fin_sqft,Units,Bdrms,Fbath,Hbath,Lotsize,Sale_date,Sale_price 
Condominium,3592214000,1313 N FRANKLIN PL,BREAKWATER CONDOS,4,5811,HI-RISE,,0,2009,0,2525,1,3,3,0,0,2011-06,750000
Condominium,2550073000,4215102 N 100TH ST,CLOISTERS NW,5,5210,APARTMENT,,1,1975,5,1230,1,2,2,0,0,2011-06,60000
Condominium,2550165000,4215270 N 100TH ST,CLOISTERS NW,5,5210,APARTMENT,,1,1975,4,1051,1,2,2,0,0,2011-06,83900
Condominium,3531400000,234 E RESERVOIR AV,COBBLERS LOFTS,6,5945,apartment,,1,1917,3,742,1,1,1,0,0,2011-06,85000
Condominium,3561258000,1983 N SUMMIT AV,COMMODORE,3,5885,APARTMENT,,1,1922,5,1122,1,2,1,0,0,2011-06,135000
Condominium,3591263000,1633 N PROSPECT AV,DIAMOND TOWER,3,5920,HI-RISE,,1,1982,4,1136,1,2,2,0,0,2011-06,125500
Condominium,3551318100,1707 N PROSPECT AV,EDGEWATER TERRACE,3,5800,HI-RISE,,1,1967,3,650,1,1,1,0,0,2011-06,105000
Condominium,3601728000,1541 N JEFFERSON ST,FLATIRON CONDOMINIUM,3,5894,APARTMENT,,1,2008,5,1530,1,2,2,1,0,2011-06,227000
Condominium,3601719000,1541 N JEFFERSON ST,FLATIRON CONDOMINIUM,3,5894,APARTMENT,,1,2008,3,770,1,1,1,0,0,2011-06,135000
Condominium,4290271000,541 E ERIE ST,HARBOR FRONT,4,5392,APARTMENT,,1,2006,3,880,1,1,1,0,0,2011-06,237000
Condominium,390213000,8517 N 107TH ST,HIGHLANDS 2,9,5065,MIXED STYLES,,1,1979,4,880,1,2,1,1,0,2011-06,32000
Condominium,3922692000,923 E KILBOURN AV,KILBOURN TOWER,4,5992,APARTMENT,,1,2005,10,5769,1,4,0,0,0,2011-06,1800000
Condominium,3561454100,1812 E LAFAYETTE PL,LAFAYETTE HILL,3,5913,Apartment,,1,2003,4,1375,1,2,2,0,0,2011-06,202000
Condominium,3591942000,1300 N PROSPECT AV,LAKE BLUFF AT EAST TOWN CONDOMINIUM,4,5750,APARTMENT,,1,1998,5,1103,1,1,1,0,0,2011-06,195940
Condominium,3591900100,1660 N PROSPECT AV,LANDMARK ON THE LAKE,4,5921,APARTMENT,,1,1990,5,2044,1,2,2,1,0,2011-06,560000
Condominium,3591806000,1660 N PROSPECT AV,LANDMARK ON THE LAKE,4,5921,APARTMENT,,1,1990,4,1125,1,2,2,0,0,2011-06,232250
Condominium,3591665000,1660 N PROSPECT AV,LANDMARK ON THE LAKE,4,5921,APARTMENT,,1,1990,4,958,1,2,2,0,0,2011-06,292500
Condominium,3591437000,1550 N WARREN AV,MAISONETTE CONDOMINIUMS ,3,5942,Apartment,,1,2000,4,1320,1,2,2,0,0,2011-06,199000
Condominium,5251511000,9600 W BELOIT RD,MAPLE TERRACE,11,5298,APARTMENT,,1,1983,5,968,1,2,1,0,0,2011-06,63000
Condominium,4290379000,311 E ERIE ST,MARINE TERMINAL LOFTS,4,5393,APARTMENT,,2,2006,6,2623,1,2,2,1,0,2011-06,762500
Condominium,1470111000,11958 W MILL RD,MILL VALLEY,5,5170,MIXED STYLES,,2,1971,4,1056,1,2,1,1,0,2011-06,74000
Condominium,5001431000,1212 E RUSSELL AV,Panlener Condominiums,14,5273,TOWNHOUSE,,2,2010,5,1608,1,3,2,1,0,2011-06,173000
Condominium,3170522000,2703 N HACKETT AV,PARK PRAIRIE CONDOMINIUM,3,5609,DUPLEX,,1.5,1912,7,2499,1,5,2,0,0,2011-06,265000
Condominium,4280867000,106 W SEEBOTH ST,POINT ON THE RIVER CONDOS,12,5388,APARTMENT,,1,2006,5,1108,1,1,1,0,0,2011-06,215000
Condominium,3531241000,114 W RESERVOIR AV,RESERVOIR HEIGHTS,6,5940,APARTMENT,,1,1893,5,1166,1,2,1,0,0,2011-06,183500
Condominium,3551758000,2151 N RIVERBOAT  RD,RIVERCREST CONDOMINIUM,3,5924,APARTMENT,,3,2005,5,1825,1,2,2,1,0,2011-06,364900
Condominium,3551755000,2150 N COMMERCE ST,RIVERCREST CONDOMINIUM,3,5924,APARTMENT,,3,2005,5,1507,1,2,2,1,0,2011-06,299900
Condominium,3551733000,2106 N COMMERCE ST,RIVERCREST CONDOMINIUM,3,5924,APARTMENT,,3,2005,5,1422,1,2,2,1,0,2011-06,236000
Condominium,3531578000,1924 N HUBBARD ST,SHOEWORKS LOFTS,6,5971,APARTMENT,,1,1945,5,1387,1,2,2,1,0,2011-06,225490
Condominium,3551648000,1550 E ROYALL  PL,STERLING CONDOMINIUM,3,5855,APARTMENT,,1,2005,4,1439,1,2,2,0,0,2011-06,236750
Condominium,2620841000,3749105 N 88TH ST,VILLA DU COURS (ELEVATOR),5,5220,APARTMENT,,1,1974,4,863,1,1,1,0,0,2011-06,57500
Condominium,4280698000,130 S WATER ST,WATERFRONT CONDO,12,5394,APARTMENT,,1,2004,4,1653,1,2,2,0,0,2011-06,410000
Condominium,3561425000,2302 E WYOMING PL,WYOMING PLACE CONDOMINIUMS,3,5907,APARTMENT,,1,1913,5,900,1,1,1,0,0,2011-06,130000
Lg Apartment,3130528000,2942 N 2ND ST,"12: 1-Br ,14: 2-Br ",6,6975,"Apartment: 12: 1-Br ,14: 2-Br  Units",,3,1929,0,32211,1,0,0,0,0,2011-06,685000
Lg Apartment,3050436000,6665 W LISBON AV,"7: 1-Br ,1: 2-Br ",10,6660,"Apartment: 7: 1-Br ,1: 2-Br  Units",,2,1952,0,4975,1,0,0,0,10140,2011-06,250000
Lg Apartment,4960633000,2327 S 15TH ST,4: 2-Br ,12,6780,Apartment: 4: 2-Br  Units,,2,1904,0,3212,1,0,0,0,3600,2011-06,121500
Commercial,4991601000,2433 S KINNICKINNIC AV,,14,6282,Funeral Home,,2,1905,0,7456,1,0,0,0,5088,2011-06,205000
Commercial,1110152000,11050 W LIBERTY DR,,5,6453,Office Building - 1 Story,,1,2006,0,26550,1,0,0,0,305051,2011-06,6775000
Commercial,4702227000,2059R S MUSKEGO AV,,8,6278,Service Building,,1,1928,0,2073,1,0,0,0,6000,2011-06,15000
Commercial,4691509100,1428 W LINCOLN AV,,12,6281,"Store Bldg - Multi Story (Store & Apt, Store & O",,2,1913,0,6560,1,0,0,0,4327,2011-06,160000
Commercial,4610586000,1017 W HISTORIC MITCHELL ST,,12,6280,"Store Bldg - Multi Story (Store & Apt, Store & O",,2,1893,0,6262,1,0,0,0,3073,2011-06,149000
Commercial,2811005000,800 E CHAMBERS ST,,3,6238,"Store Bldg - Multi Story (Store & Apt, Store & O",,2,1905,0,4626,1,0,0,0,4375,2011-06,233500
Commercial,5000003000,2639 S KINNICKINNIC AV,,14,6282,"Store Bldg - Multi Story (Store & Apt, Store & O",,2,1899,0,3795,1,0,0,0,3884,2011-06,275000
Commercial,2620417000,8408 W LISBON AV,,5,6226,"Store Bldg - Multi Story (Store & Apt, Store & O",,2,1954,0,3439,1,0,0,0,5622,2011-06,260000
Commercial,4702615000,2636 W LINCOLN AV,,8,6283,"Store Bldg - Multi Story (Store & Apt, Store & O",,2,1915,0,3222,1,0,0,0,2700,2011-06,180000
Residential,1239991110,4054 W VERA AV,,1,600,Cape Cod,Aluminum / Vinyl,1,1953,0,1120,1,4,1,0,10000,2011-07,113197
Residential,1719926000,5824 N 37TH ST,,1,900,Cape Cod,Brick,1.5,1936,0,1099,1,2,1,0,6400,2011-07,62900
Residential,2450120000,4238 N 21ST ST,,1,1620,Colonial,Masonry / Frame,2,1951,0,1306,1,3,1,1,6250,2011-07,69500
Residential,1710507000,5686 N 41ST ST,,1,900,Colonial,Aluminum / Vinyl,2,1936,0,1144,1,3,1,0,4800,2011-07,55000
Residential,2090723100,4404 W HAMPTON AV,,1,1150,Duplex N/S,Brick,2,1957,0,2576,2,4,2,0,8624,2011-07,89000
Residential,1020039000,3929 W PORTAGE ST,,1,380,Ranch,Brick,1,1954,0,1185,1,3,1,1,11592,2011-07,88000
Residential,2050339000,5150 N 19TH ST,,1,1340,Ranch,Aluminum / Vinyl,1,1953,0,1082,1,3,1,0,5760,2011-07,40000
Residential,2130492000,8101 W HERBERT AV,,2,1400,Cape Cod,Aluminum / Vinyl,1,1955,0,1119,1,3,1,0,6000,2011-07,70000
Residential,2110030000,5037 N 63RD ST,,2,1140,Cape Cod,Aluminum / Vinyl,1,1952,0,1019,1,4,2,0,4400,2011-07,99900
Residential,1750643000,5915 N 69TH ST,,2,960,Cape Cod,Aluminum / Vinyl,1,1936,0,945,1,2,1,0,5000,2011-07,43490
Residential,1750607000,5957 N 68TH ST,,2,960,Duplex N/S,Aluminum / Vinyl,2,1958,0,1872,2,4,2,0,5400,2011-07,37000
Residential,2510169000,7327 W HOPE AV,,2,1480,Ranch,Aluminum / Vinyl,1,1961,0,1274,1,3,1,0,4800,2011-07,74000
Residential,2260234000,6037 W LINCOLN CREEK DR,,2,1490,Ranch,Brick,1,1959,0,1169,1,3,1,1,8109,2011-07,75000
Residential,1860019000,5368 N 87TH ST,,2,1400,Ranch,Aluminum / Vinyl,1,1958,0,942,1,3,1,1,11613,2011-07,112000
Residential,1760280000,5802 N 80TH ST,,2,980,Ranch,Aluminum / Vinyl,1,1954,0,879,1,3,1,0,4800,2011-07,85000
Residential,2780675000,3488 N HACKETT AV,,3,3060,Milwaukee Bungalow,Brick,2,1916,0,3543,1,4,2,0,6600,2011-07,362000
Residential,2790179000,3249 N CRAMER ST,,3,3160,Milwaukee Bungalow,Aluminum / Vinyl,1,1920,0,1918,1,4,2,0,5400,2011-07,292000
Residential,3151043000,3056 N CAMBRIDGE AV,,3,3150,Milwaukee Bungalow,Aluminum / Vinyl,1,1919,0,1635,1,3,2,0,4200,2011-07,194000
Residential,3170002000,3067 N LAKE DR,,3,3060,Residence O/S,Brick,2,1928,0,3768,1,5,3,1,10710,2011-07,650000
Residential,3161256000,2423 E NEWBERRY BL,,3,3060,Residence O/S,Brick,2,1915,0,3666,1,5,3,1,8250,2011-07,555000
Residential,2780635000,2822 E NEWPORT AV,,3,3060,Residence O/S,Stucco,2,1915,0,3507,1,4,2,1,8400,2011-07,368500
Residential,3161276000,2738 N PROSPECT AV,,3,3170,Residence O/S,Frame,2,1902,0,2781,1,4,2,0,4880,2011-07,395000
Residential,3140264000,708 E LOCUST ST,,3,2890,Residence O/S,Frame,1,1908,0,1512,1,3,1,1,2100,2011-07,125000
Residential,2810036210,3340 N PIERCE ST,,3,2880,Residence O/S,Frame,1,1908,0,1483,1,3,1,1,7320,2011-07,147000
Residential,1800403000,5953 N 113TH ST,,5,780,Cape Cod,Aluminum / Vinyl,1.5,1998,0,1819,1,3,2,1,14196,2011-07,211000
Residential,2930675000,3255 N 90TH ST,,5,2100,Cape Cod,Aluminum / Vinyl,1,1952,0,1244,1,3,1,0,5000,2011-07,112000
Residential,2241087000,4486 N 83RD ST,,5,1470,Cape Cod,Aluminum / Vinyl,1,1956,0,1154,1,4,1,0,5376,2011-07,115000
Residential,3020028000,3011 N 90TH ST,,5,2080,Cape Cod,Frame,1.5,1939,0,1139,1,2,1,1,7500,2011-07,157500
Residential,2930218000,3264 N 86TH ST,,5,2100,Cape Cod,Aluminum / Vinyl,1,1952,0,1021,1,4,1,0,5000,2011-07,115000
Residential,2930004000,8727 W LISBON AV,,5,2100,Cape Cod,Aluminum / Vinyl,1.5,1949,0,999,1,3,1,0,4800,2011-07,107500
Residential,2630882000,3444 N 81ST ST,,5,2040,Colonial,Masonry / Frame,2,1952,0,1528,1,3,1,1,6500,2011-07,167000
Residential,3030108000,7636 W CENTER ST,,5,2080,Dplx Bungalow,Aluminum / Vinyl,1.5,1922,0,1817,2,5,2,0,8100,2011-07,125000
Residential,3020013000,3012 N 92ND ST,,5,2120,Ranch,Stone,1,1952,0,1604,1,3,1,1,7670,2011-07,126000
Residential,2620182000,3628 N 87TH ST,,5,2040,Ranch,Brick,1,1954,0,1232,1,2,1,1,5580,2011-07,100500
Residential,2940173000,3261 N 96TH ST,,5,2140,Ranch,Brick,1,1949,0,1216,1,2,1,0,7800,2011-07,80000
Residential,1480029000,6265 N RIVER TRAIL DR,,5,780,Ranch,Frame,1,1971,0,1212,1,4,1,1,10526,2011-07,137500
Residential,1840292000,5350 N 103RD ST,,5,1040,Ranch,Aluminum / Vinyl,1,1956,0,1132,1,3,2,1,7502,2011-07,83500
Residential,2530275000,4074 N 91ST ST,,5,1460,Ranch,Brick,1,1956,0,1082,1,3,1,0,5080,2011-07,68000
Residential,2230693000,8924 W PALMETTO AV,,5,1460,Ranch,Frame,1,1960,0,1079,1,3,1,1,6120,2011-07,87550
Residential,2520403000,4156 N 81ST ST,,5,1470,Ranch,Aluminum / Vinyl,1,1956,0,1074,1,3,1,0,6000,2011-07,102800
Residential,2940267000,3230 N 93RD ST,,5,2120,Ranch,Aluminum / Vinyl,1,1952,0,1064,1,2,1,0,6500,2011-07,82900
Residential,3020540000,2820 N 86TH ST,,5,2080,Ranch,Aluminum / Vinyl,1,1950,0,715,1,2,1,0,6250,2011-07,109900
Residential,3221041110,2534 N 5TH ST,,6,2920,Duplex O/S,Aluminum / Vinyl,2,1905,0,3485,2,7,3,0,12000,2011-07,35500
Residential,2831090000,626 W BURLEIGH ST,,6,2900,Duplex O/S,Aluminum / Vinyl,1.5,1908,0,1538,2,3,2,0,3150,2011-07,31500
Residential,3211455000,2539 N PIERCE ST,,6,2890,Milwaukee Bungalow,Aluminum / Vinyl,1,1920,0,826,1,2,1,0,3810,2011-07,142500
Residential,2280275000,4756 N 50TH ST,,7,1150,Cape Cod,Aluminum / Vinyl,1,1953,0,1227,1,4,1,1,5980,2011-07,64800
Residential,2670612000,4934 W MEDFORD AV,,7,1820,Dplx Bungalow,Brick,1.5,1931,0,2008,2,3,2,0,4800,2011-07,79000
Residential,3101714000,3065 N 25TH ST,,7,2950,Milwaukee Bungalow,Aluminum / Vinyl,1,1921,0,1644,1,4,1,1,4588,2011-07,28000
Residential,3101044000,2931 N 21ST ST,,7,2950,Residence O/S,Aluminum / Vinyl,1,1891,0,920,1,2,1,0,3750,2011-07,15000
Residential,4590176000,1531 S 22ND ST,,8,4100,Cottage,Aluminum / Vinyl,1,1885,0,1208,1,3,1,0,4200,2011-07,39900
Residential,4350308000,1011 S 32ND ST,,8,4060,Dplx Bungalow,Aluminum / Vinyl,1.5,1929,0,2156,2,4,2,0,3810,2011-07,89000
Residential,4710825000,2134 S 31ST ST,,8,4000,Dplx Bungalow,Aluminum / Vinyl,1.5,1921,0,2049,2,4,2,0,4840,2011-07,100000
Residential,4340147000,1041 S 25TH ST,,8,4050,Duplex O/S,Aluminum / Vinyl,2,1913,0,2558,2,6,2,0,4900,2011-07,83000
Residential,4950268000,2437 S 29TH ST,,8,4000,Residence O/S,Aluminum / Vinyl,1.5,1900,0,1497,1,4,1,0,7500,2011-07,93000
Residential,4360341000,3742 W FREDERICA PL,,8,4060,Residence O/S,Aluminum / Vinyl,1.5,1907,0,1470,1,4,1,1,3600,2011-07,76000
Residential,4950095000,2313 S 28TH ST,,8,4000,Residence O/S,Aluminum / Vinyl,1.5,1900,0,1255,1,3,1,0,2400,2011-07,81500
Residential,4950267000,2445 S 29TH ST,,8,4000,Residence O/S,Aluminum / Vinyl,1,1903,0,1254,1,4,2,0,3750,2011-07,75000
Residential,1399961100,6716 N 58TH ST,,9,560,Cape Cod,Brick,1,1939,0,944,1,3,2,0,11932,2011-07,83000
Residential,840276000,7703 N DELTA PL,,9,360,Ranch,Aluminum / Vinyl,1,1957,0,1332,1,3,1,1,10125,2011-07,129500
Residential,810015000,7900 W LOLITA AV,,9,240,Ranch,Aluminum / Vinyl,1,1958,0,1039,1,3,1,1,20000,2011-07,73000
Residential,1380125000,6600 N 51ST ST,,9,560,Ranch,Aluminum / Vinyl,1,1965,0,1033,1,3,1,0,6375,2011-07,113500
Residential,2890676000,3340 N 60TH ST,,10,1850,Cape Cod,Brick,1,1937,0,1875,1,4,1,1,6075,2011-07,140000
Residential,2890465000,5551 W BROOKLYN PL,,10,1850,Cape Cod,Stone,1,1935,0,1490,1,2,1,0,4800,2011-07,95000
Residential,4060637000,7128 W STEVENSON ST,,10,2720,Cape Cod,Brick,1,1949,0,1204,1,3,1,0,6654,2011-07,107000
Residential,3050479000,2915 N 68TH ST,,10,1980,Cape Cod,Brick,1,1948,0,1129,1,3,1,0,5166,2011-07,137000
Residential,2650350000,3613 N 63RD ST,,10,1940,Cape Cod,Aluminum / Vinyl,1,1952,0,1100,1,3,1,0,5330,2011-07,86000
Residential,4201113000,214 S 61ST ST,,10,2710,Cape Cod,Aluminum / Vinyl,1,1948,0,1082,1,3,1,0,5040,2011-07,92100
Residential,4201069000,326 S 62ND ST,,10,2710,Cape Cod,Aluminum / Vinyl,1,1947,0,1063,1,2,1,1,5040,2011-07,123000
Residential,3469912000,1926 N 53RD ST,,10,2540,Colonial,Stucco,2,1923,0,2304,1,4,1,2,6000,2011-07,185000
Residential,4061240000,161 N 70TH ST,,10,2720,Colonial,Aluminum / Vinyl,2,2004,0,2227,1,4,2,1,4600,2011-07,200000
Residential,3050905000,6431 W MOLTKE AV,,10,1870,Colonial,Aluminum / Vinyl,2,1946,0,1342,1,3,1,1,3840,2011-07,71400
Residential,3461480000,2155 N 56TH ST,,10,2540,Dplx Bungalow,Aluminum / Vinyl,2,1917,0,2678,2,6,2,0,4520,2011-07,163500
Residential,2890571000,5729 W PHILIP PL,,10,1850,Dplx Bungalow,Brick,1.5,1941,0,1991,2,3,2,0,4800,2011-07,105000
Residential,3460027000,1816 N 52ND ST,,10,2540,Milwaukee Bungalow,Aluminum / Vinyl,1.5,1917,0,2011,1,3,1,1,4602,2011-07,191000
Residential,2890467000,5541 W BROOKLYN PL,,10,1850,Milwaukee Bungalow,Brick,1,1933,0,1345,1,3,1,0,4800,2011-07,126000
Residential,4061047000,506 S 70TH ST,,10,2710,Milwaukee Bungalow,Aluminum / Vinyl,1,1917,0,964,1,3,1,0,4520,2011-07,31000
Residential,4061047000,506 S 70TH ST,,10,2710,Milwaukee Bungalow,Aluminum / Vinyl,1,1917,0,964,1,3,1,0,4520,2011-07,21500
Residential,4030603000,347 N STORY PK,,10,2680,Ranch,Brick,1,1954,0,1380,1,3,2,0,6206,2011-07,208100
Residential,4090390000,9236 W PARK HILL AV,,10,2760,Ranch,Aluminum / Vinyl,1,1954,0,864,1,3,1,0,6480,2011-07,100000
Residential,4200238000,320 S 67TH ST,,10,2710,Residence O/S,Aluminum / Vinyl,1,1918,0,1340,1,3,1,0,7440,2011-07,92500
Residential,3290611000,2510 N 57TH ST,,10,2540,Residence O/S,Aluminum / Vinyl,1,1922,0,1208,1,3,2,0,4800,2011-07,77500
Residential,4030676000,357 N 50TH ST,,10,2680,Tudor,Brick,1.5,1928,0,2297,1,3,1,1,6600,2011-07,230000
Residential,5110116000,3645 W FOREST HOME AV,,11,4320,Cape Cod,Stone,1,1942,0,2928,1,3,2,0,5625,2011-07,171000
Residential,5730748100,4030 S 57TH ST,,11,4420,Cape Cod,Brick,1,1952,0,1705,1,4,1,1,13158,2011-07,168500
Residential,5120653000,3015 S 47TH ST,,11,4320,Cape Cod,Stone,1,1950,0,1279,1,3,1,1,4920,2011-07,148000
Residential,5121206000,2928 S 47TH ST,,11,4320,Cape Cod,Aluminum / Vinyl,1,1946,0,958,1,3,1,0,5000,2011-07,128000
Residential,5590135000,3550 S 83RD ST,,11,4340,Duplex N/S,Brick,1.5,1959,0,2184,2,4,2,1,10680,2011-07,165000
Residential,5121148000,3053A S 44TH ST,,11,4320,Duplex O/S,Aluminum / Vinyl,1.5,1941,0,1841,2,3,2,0,5080,2011-07,137900
Residential,5120850000,2834 S 45TH ST,,11,4320,Duplex O/S,Stone,1.5,1942,0,1808,2,3,2,0,5040,2011-07,148000
Residential,5260649000,3305 S 91ST ST,,11,4340,Ranch,Aluminum / Vinyl,1,1959,0,1235,1,3,1,1,8400,2011-07,165000
Residential,5619985124,3649 S 95TH ST,,11,4340,Ranch,Aluminum / Vinyl,1,1970,0,1172,1,4,1,1,6500,2011-07,163000
Residential,5261008000,8624 W HOLT AV,,11,4340,Ranch,Aluminum / Vinyl,1,1962,0,1161,1,3,1,1,7020,2011-07,151700
Residential,5580803000,3878 S MASSACHUSETTS AV,,11,4330,Ranch,Brick,1,1959,0,1053,1,3,1,1,7029,2011-07,141500
Residential,5280057000,3418 S 69TH ST,,11,4380,Ranch,Aluminum / Vinyl,1,1955,0,1002,1,3,2,0,5750,2011-07,120000
Residential,4901125000,2553 S 64TH ST,,11,4240,Ranch,Aluminum / Vinyl,1,1954,0,984,1,3,1,1,4900,2011-07,125000
Residential,5611531000,9701 W MORGAN AV,,11,4350,Ranch,Aluminum / Vinyl,1,1954,0,984,1,3,1,1,10360,2011-07,123000
Residential,5700015000,8018 W NORWICH ST,,11,4340,Ranch,Aluminum / Vinyl,1,1960,0,937,1,3,1,0,7200,2011-07,143900
Residential,5290323000,3157 S 66TH ST,,11,4380,Ranch,Brick,1,1954,0,918,1,3,1,0,5555,2011-07,94000
Residential,5290206000,6526 W EUCLID AV,,11,4380,Ranch,Aluminum / Vinyl,1,1953,0,899,1,3,1,0,6000,2011-07,84000
Residential,4600414100,1900 W ARROW ST,,12,4100,Colonial,Aluminum / Vinyl,2,2009,0,1672,1,3,2,0,7200,2011-07,85000
Residential,4320271000,1211 S 10TH ST,,12,4040,Cottage,Aluminum / Vinyl,1,1885,0,1295,1,4,1,0,1750,2011-07,50000
Residential,4610674000,1025 W MAPLE ST,,12,4100,Cottage,Aluminum / Vinyl,1,1880,0,882,1,2,1,0,3000,2011-07,26500
Residential,4960365000,2329 S 19TH ST,,12,4160,Duplex-Cottage,Frame,1,1903,0,1530,2,4,2,0,3600,2011-07,85000
Residential,5810615000,4249 S BURRELL ST,,13,4700,Cape Cod,Stone,1.5,1937,0,1433,1,2,1,1,4725,2011-07,154000
Residential,5521388000,3769 S 22ND ST,,13,4360,Cape Cod,Brick,1,1951,0,1348,1,3,1,0,5805,2011-07,110000
Residential,5519983000,3522 S 14TH ST,,13,4520,Cape Cod,Brick,1,1947,0,1163,1,3,1,0,4900,2011-07,120000
Residential,5950649000,312 W VAN NORMAN AV,,13,4740,Cape Cod,Aluminum / Vinyl,1,1954,0,1137,1,3,1,0,7290,2011-07,129900
Residential,5519932000,3557 S 14TH ST,,13,4520,Duplex N/S,Brick,1.5,1951,0,2463,2,5,2,0,5382,2011-07,158000
Residential,6709957114,5818 S 18TH ST,,13,4780,Ranch,Brick,1,1964,0,1167,1,3,1,1,8479,2011-07,131800
Residential,5950610000,205 W ALLERTON AV,,13,4740,Ranch,Brick,1,1956,0,961,1,2,1,0,7290,2011-07,125000
Residential,5400094000,3303 S SPRINGFIELD AV,,14,4610,Cape Cod,Aluminum / Vinyl,1,1952,0,784,1,2,1,0,4800,2011-07,128000
Residential,5020067000,3024 S DELAWARE AV,,14,4540,Colonial,Frame,2,1913,0,1536,1,4,2,0,4800,2011-07,222000
Residential,5470215000,1006 E WILBUR AV,,14,4620,Colonial,Aluminum / Vinyl,2,1945,0,1360,1,2,1,1,5040,2011-07,148900
Residential,5390904000,3439 S CLEMENT AV,,14,4580,Duplex N/S,Masonry / Frame,2,1984,0,2660,2,6,2,0,5040,2011-07,155000
Residential,4991131000,2592 S HOWELL AV,,14,4910,Duplex O/S,Masonry / Frame,2,1940,0,2378,2,5,2,1,4800,2011-07,190000
Residential,5030223000,2728 S LINEBARGER TR,,14,4540,Milwaukee Bungalow,Aluminum / Vinyl,1,1929,0,1450,1,3,1,1,4025,2011-07,168500
Residential,5400870000,1928 E HILLCREST AV,,14,4610,Milwaukee Bungalow,Aluminum / Vinyl,1,1928,0,992,1,2,1,0,3080,2011-07,141000
Residential,5380955000,3353 S BURRELL ST,,14,4580,Ranch,Aluminum / Vinyl,1,1955,0,864,1,3,1,1,7400,2011-07,96000
Residential,5041033000,2805 S CLEMENT AV,,14,4500,Residence O/S,Aluminum / Vinyl,2,1908,0,2520,1,4,2,0,8040,2011-07,229900
Residential,5359985000,3321 S 14TH ST,,14,4520,Residence O/S,Aluminum / Vinyl,1.5,1883,0,2024,1,4,2,0,7000,2011-07,146000
Residential,5030993000,2204 E BENNETT AV,,14,4540,Residence O/S,Aluminum / Vinyl,1.5,1910,0,1745,1,4,2,0,3600,2011-07,202000
Residential,5041035000,2815 S CLEMENT AV,,14,4500,Residence O/S,Frame,2,1910,0,1520,1,4,1,0,4422,2011-07,153900
Residential,5360235000,3221 S 8TH ST,,14,4520,Residence O/S,Aluminum / Vinyl,1,1910,0,1512,1,3,1,0,5490,2011-07,72000
Residential,4991870000,2362 S WOODWARD ST,,14,4910,Residence O/S,Frame,2,1925,0,1320,1,3,1,0,6000,2011-07,158000
Residential,3504022000,2317 W GARFIELD AV,,15,3000,Colonial,Aluminum / Vinyl,2,2009,0,1604,1,3,2,1,5023,2011-07,120000
Condominium,3541166000,2050 N COMMERCE ST,BEERLINE RIVER HOMES,6,5939,APARTMENT,,1,2005,4,1228,1,2,1,0,0,2011-07,184500
Condominium,3922749000,270 E HIGHLAND AV,BLATZ ,4,5901,APARTMENT,,1,1901,3,739,1,1,1,0,0,2011-07,142000
Condominium,3592146000,1313 N FRANKLIN PL,BREAKWATER CONDOS,4,5811,HI-RISE,,0,2009,0,2094,1,2,2,0,0,2011-07,596280
Condominium,3592157000,1313 N FRANKLIN PL,BREAKWATER CONDOS,4,5811,HI-RISE,,0,2009,0,1931,1,2,2,0,0,2011-07,425000
Condominium,3930892000,1111 N MARSHALL ST,CITY GREEN CONDOMINIUM,4,5906,APARTMENT,,1,2007,4,1377,1,1,1,1,0,2011-07,250000
Condominium,3591224000,1633 N PROSPECT AV,DIAMOND TOWER,3,5920,HI-RISE,,1,1982,4,1136,1,2,2,0,0,2011-07,168000
Condominium,3591207000,1633 N PROSPECT AV,DIAMOND TOWER,3,5920,HI-RISE,,1,1982,4,1084,1,2,2,0,0,2011-07,146500
Condominium,3591247000,1633 N PROSPECT AV,DIAMOND TOWER,3,5920,HI-RISE,,1,1982,4,1084,1,2,2,0,0,2011-07,163300
Condominium,3591270100,1633 N PROSPECT AV,DIAMOND TOWER,3,5920,HI-RISE,,1,1982,4,936,1,2,1,0,0,2011-07,146500
Condominium,3551324100,1707 N PROSPECT AV,EDGEWATER TERRACE,3,5800,HI-RISE,,1,1967,3,498,1,1,1,0,0,2011-07,93500
Condominium,4290196000,601 E ERIE ST,HARBOR FRONT,4,5392,APARTMENT,,1,2004,5,1731,1,2,2,0,0,2011-07,481000
Condominium,740166000,8311-A N 107TH ST,HIGHLANDS ON PARK,9,5100,MIXED STYLES,,2,1974,4,1180,1,2,1,1,0,2011-07,25000
Condominium,3541283000,1012U3 E GARFIELD AV,HUMBOLDT RIDGE TOWNHOMES,6,5929,TOWNHOUSE,,2,2002,4,1669,1,2,2,1,0,2011-07,244000
Condominium,3601092011,1028 E JUNEAU AV,KNICKERBOCKER ON THE LAKE,4,5960,MIXED STYLES,,1,1927,2,460,1,0,1,0,0,2011-07,40000
Condominium,3601234000,1028 E JUNEAU AV,KNICKERBOCKER ON THE LAKE,4,5960,MIXED STYLES,,1,1927,1,325,1,0,1,0,0,2011-07,52000
Condominium,3561262000,2030 N LAKE DR,LAURA GILL HOUSE,3,5914,DUPLEX,,2,1937,8,2350,1,5,4,0,0,2011-07,280000
Condominium,1470202000,11927 W APPLETON AV,MILL VALLEY,5,5170,MIXED STYLES,,1,1971,4,865,1,2,1,1,0,2011-07,60000
